Department Family,Entity,Date,Expense Type,Expense Area Rev,Supplier,Transaction Number,Amount,Description,Supplier Postcode
Department for Transport,DVSA,23/10/2014,Legal Charges,Chief Information Officer,TREASURY SOLICITORS DEPARTMENT,981659,2648.88,Legal Charges,WC2B 4TS
Department for Transport,DVSA,23/10/2014,Rent,Finance Estates and Performance,HIGHWAYS AGENCY,982631,6224.29,RENT & SERVICE CHARGE 01/10/14-31/12/14 @ SOUTH MIMMS,B1 1RN
Department for Transport,DVSA,23/10/2014,Rent Service Charges,Finance Estates and Performance,DEPARTMENT FOR WORK AND PENSIONS,982882,668.71,FACILITIES & UTILITIES CHARGE SEP 14 @ BURY ST EDMUNDS,FY5 3TA
Department for Transport,DVSA,24/10/2014,Accommodation,Finance Estates and Performance,BBC FIRE PROTECTION LTD (CIS),983261,84,"VOSAPO16580,Emergency lighting servicing - Aberystwyth",NR18 0QH
Department for Transport,DVSA,24/10/2014,Accommodation,Finance Estates and Performance,BBC FIRE PROTECTION LTD (CIS),983261,84,"VOSAPO16580,Emergency lighting servicing - Belvedere SO",NR18 0QH
Department for Transport,DVSA,24/10/2014,Accommodation,Finance Estates and Performance,BBC FIRE PROTECTION LTD (CIS),983261,61,"VOSAPO16580,Emergency lighting servicing - Bristol (Avonmouth)",NR18 0QH
Department for Transport,DVSA,24/10/2014,Accommodation,Finance Estates and Performance,BBC FIRE PROTECTION LTD (CIS),983261,126,"VOSAPO16580,Emergency lighting servicing - Carlisle",NR18 0QH
Department for Transport,DVSA,24/10/2014,Accommodation,Finance Estates and Performance,BBC FIRE PROTECTION LTD (CIS),983261,62.5,"VOSAPO16580,Emergency lighting servicing - Gillingham",NR18 0QH
Department for Transport,DVSA,24/10/2014,Accommodation,Finance Estates and Performance,BBC FIRE PROTECTION LTD (CIS),983261,125,"VOSAPO16580,Emergency lighting servicing - Haverfordwest",NR18 0QH
Department for Transport,DVSA,24/10/2014,Accommodation,Finance Estates and Performance,BBC FIRE PROTECTION LTD (CIS),983261,128,"VOSAPO16580,Emergency lighting servicing - Inverness",NR18 0QH
Department for Transport,DVSA,24/10/2014,Accommodation,Finance Estates and Performance,BBC FIRE PROTECTION LTD (CIS),983261,64,"VOSAPO16580,Emergency lighting servicing - Leatherhead",NR18 0QH
Department for Transport,DVSA,24/10/2014,Accommodation,Finance Estates and Performance,BBC FIRE PROTECTION LTD (CIS),983261,46,"VOSAPO16580,Emergency lighting servicing - Poole",NR18 0QH
Department for Transport,DVSA,24/10/2014,Accommodation,Finance Estates and Performance,BBC FIRE PROTECTION LTD (CIS),983261,31.5,"VOSAPO16580,Fire alarm servicing - Aberystwyth",NR18 0QH
Department for Transport,DVSA,24/10/2014,Accommodation,Finance Estates and Performance,BBC FIRE PROTECTION LTD (CIS),983261,54.5,"VOSAPO16580,Fire alarm servicing - Belvedere SO",NR18 0QH
Department for Transport,DVSA,24/10/2014,Accommodation,Finance Estates and Performance,BBC FIRE PROTECTION LTD (CIS),983261,52.5,"VOSAPO16580,Fire alarm servicing - Bristol (Avonmouth)",NR18 0QH
Department for Transport,DVSA,24/10/2014,Accommodation,Finance Estates and Performance,BBC FIRE PROTECTION LTD (CIS),983261,78.5,"VOSAPO16580,Fire alarm servicing - Carlisle",NR18 0QH
Department for Transport,DVSA,24/10/2014,Accommodation,Finance Estates and Performance,BBC FIRE PROTECTION LTD (CIS),983261,47,"VOSAPO16580,Fire alarm servicing - Gillingham",NR18 0QH
Department for Transport,DVSA,24/10/2014,Accommodation,Finance Estates and Performance,BBC FIRE PROTECTION LTD (CIS),983261,31.5,"VOSAPO16580,Fire alarm servicing - Haverfordwest",NR18 0QH
Department for Transport,DVSA,24/10/2014,Accommodation,Finance Estates and Performance,BBC FIRE PROTECTION LTD (CIS),983261,53,"VOSAPO16580,Fire alarm servicing - Inverness",NR18 0QH
Department for Transport,DVSA,24/10/2014,Accommodation,Finance Estates and Performance,BBC FIRE PROTECTION LTD (CIS),983261,64,"VOSAPO16580,Fire alarm servicing - Leatherhead",NR18 0QH
Department for Transport,DVSA,24/10/2014,Accommodation,Finance Estates and Performance,BBC FIRE PROTECTION LTD (CIS),983261,88,"VOSAPO16580,Fire alarm servicing - Poole",NR18 0QH
Department for Transport,DVSA,24/10/2014,Accommodation,Finance Estates and Performance,BBC FIRE PROTECTION LTD (CIS),983261,256.2,"VOSAPO16580,Value Added Tax - header level",NR18 0QH
Department for Transport,DVSA,24/10/2014,Accommodation,Finance Estates and Performance,CLEANSING SERVICE GROUP LTD (CIS),983244,600,"VOSAPO18399,Water Quality Testing at Immingham W/B",PO15 5TT
Department for Transport,DVSA,24/10/2014,Accommodation,Finance Estates and Performance,CLEARWATER TECHNOLOGY LTD,983237,1489.2,"VOSAPO16263,Carry out a mains bypass of CWST 1.Install PRV ValveRemove the following sections of redundant pipework from site:1 - above CSH in cleaners room2 - next to basin in locker roomClean and Chlorination of the CSH Header tan",GU15 3YY
Department for Transport,DVSA,24/10/2014,Accommodation,Finance Estates and Performance,EDMUNDS WEBSTER LTD (CIS),983286,1148.4,"VOSAPO18617,ZIP HS105 Water Heater/Boiler to replace coroded unit in Contact Centre",SA5 9DJ
Department for Transport,DVSA,24/10/2014,Accommodation ,Vehicle Testing,PACE FUELCARE LTD,983251,1219.47,"VOSAPO18984,CENTRAL HEATING OIL FOR INVERNESS HGVTS - 2000 LITRES ORDERED",TW20 9AB
Department for Transport,DVSA,24/10/2014,Computer Costs,Chief Information Officer,INSIGHT,983268,6712.1,"VOSAPO18626,Kofax Scanner and VRS Licence",UB8 1PH
Department for Transport,DVSA,24/10/2014,Computer Costs,Chief Information Officer,INSIGHT,983282,1583.51,"VOSAPO18626,Kofax VRS Licence",UB8 1PH
Department for Transport,DVSA,24/10/2014,Computer Costs,Finance Estates and Performance,KAINOS SOFTWARE LIMITED,983233,473512.67,MOT B.SILD BUILD DELIVERY PHASE-APPROVED ,BT7 1NT
Department for Transport,DVSA,24/10/2014,Computer Costs,Finance Estates and Performance,KAINOS SOFTWARE LIMITED,983232,538602.5,MOT DELIVERY PHASE EXTENSION/69K-APPROVED ,BT7 1NT
Department for Transport,DVSA,24/10/2014,Computer Costs,Finance Estates and Performance,KAINOS SOFTWARE LIMITED,983231,39537,MOT-53.87 DAYS WORKED OFFSITE IN AUG ,BT7 1NT
Department for Transport,DVSA,24/10/2014,Legal Charges,Operations HQ,ABR SOLICITORS LTD,983289,648.6,"VOSAPO19152,0128-1-165-A1 ",LS1 3AX
Department for Transport,DVSA,24/10/2014,Postage and Stationery,Office of the Traffic Commissioners and Licensing,NEOPOST LTD,983017,5000,FRANKING MACHINE TOP UP,RM1 2AR
Department for Transport,DVSA,24/10/2014,Postage and Stationery,Operations HQ,NEOPOST LTD,983018,6000,FRANKING MACHINE TOP UP,RM1 2AR
Department for Transport,DVSA,24/10/2014,Telecommunication,Chief Information Officer,BT,983020,831.6,NGCC IMPLEMENTATION FEE FOR 5 AGENTS SEP 14,MK42 0BA
Department for Transport,DVSA,24/10/2014,Trade Shows,Strategy and Customer,EXCEL PUBLISHING CO LTD,983227,2640,ARTICLE IN BUILDER AND ENGINEER MAGAZINE,M3 4SB
Department for Transport,DVSA,24/10/2014,Trade Shows,Strategy and Customer,MASTERPRIOR LTD T/AS ACCOMMODATIONS UK,982986,1043,NGT ROADSHOW STOKE ON TRENT,NE3 1ND
Department for Transport,DVSA,27/10/2014,Accommodation,Finance Estates and Performance,BROADSTOCK OFFICE FURNITURE,983543,24.62,"VOSAPO17134,2 Metre starter lead",SK11 OTA
Department for Transport,DVSA,27/10/2014,Accommodation,Finance Estates and Performance,BROADSTOCK OFFICE FURNITURE,983543,227.33,"VOSAPO17134,Adjustable Monitor Arm.C/W desktop clamp or through desk fixings",SK11 OTA
Department for Transport,DVSA,27/10/2014,Accommodation,Finance Estates and Performance,BROADSTOCK OFFICE FURNITURE,983543,316.8,"VOSAPO17134,Calculus High Back Task Chair.Fabric Ocean YS100.",SK11 OTA
Department for Transport,DVSA,27/10/2014,Accommodation,Finance Estates and Performance,BROADSTOCK OFFICE FURNITURE,983543,76.8,"VOSAPO17134,Konsort under desk power module.3 x UK individually fused 3.15A sockets 1 switch 250mm earth lead",SK11 OTA
Department for Transport,DVSA,27/10/2014,Accommodation,Finance Estates and Performance,BROADSTOCK OFFICE FURNITURE,983543,331.2,"VOSAPO17134,Magnus Rectangular Desk Cantilever frame with rear leg modesty panel. Beech & Silver Frame",SK11 OTA
Department for Transport,DVSA,27/10/2014,Accommodation,Finance Estates and Performance,BROADSTOCK OFFICE FURNITURE,983543,122.4,"VOSAPO17134,Series 1 Desk-up upholstered screen.With Walten EJ011 Fabric.",SK11 OTA
Department for Transport,DVSA,27/10/2014,Major Maintenance,Finance Estates and Performance,RIDER LEVETT BUCKNELL (CIS),983562,1599,"VOSAPO17913,Jubilee House. Feasibility/ space planning report cost. As per August breakdown.",B3 2BH
Department for Transport,DVSA,27/10/2014,Testing Equipment Maintenance,Finance Estates and Performance,GEMCO SERVICE LTD,983524,8760,"VOSAPO19207,Gemco Service 016/005/3241 October 2014 monthly lump sum",HX2 6JB
Department for Transport,DVSA,27/10/2014,Travel and Subsistence,Operations HQ,STAFF TRAVEL COSTS,983508,6,T&S,LS26 8HE
Department for Transport,DVSA,27/10/2014,Travel and Subsistence,Operations HQ,STAFF TRAVEL COSTS,983508,633.64,T&S,LS26 8HE
Department for Transport,DVSA,28/10/2014,Accommodation,Finance Estates and Performance,ADSM PLC,983589,900,REPAIR FAULTY URINALS LIVINGSTON,SL4 6AF
Department for Transport,DVSA,28/10/2014,Accommodation,Finance Estates and Performance,ADSM PLC,983594,584.62,WATER BUREAU SERVICES SEPT 2014,SL4 6AF
Department for Transport,DVSA,28/10/2014,Accommodation,Finance Estates and Performance,BROADSTOCK OFFICE FURNITURE,983908,948,"VOSAPO18586,Calculus medium back task chair with arms scuba blue fabric",SK11 OTA
Department for Transport,DVSA,28/10/2014,Accommodation,Finance Estates and Performance,EGLAS LTD,983944,998.14,"VOSAPO14205,General Grounds Maintenance at Caernarfon GVTS",LL61 6TX
Department for Transport,DVSA,28/10/2014,Accommodation,Finance Estates and Performance,ENERGY AUDITING AGENCY LTD,983934,675,"VOSAPO17739,Utilities(Gas and Electricity) bureau services-monthly service cost",MK14 6LY
Department for Transport,DVSA,28/10/2014,Accommodation,Finance Estates and Performance,ENERGY AUDITING AGENCY LTD,983934,235,"VOSAPO17739,Utilities(Gas and Electricity) bureau services-monthly service cost - AMR reporting",MK14 6LY
Department for Transport,DVSA,28/10/2014,Accommodation,Finance Estates and Performance,ENERGY AUDITING AGENCY LTD,983934,182,"VOSAPO17739,Value Added Tax - header level",MK14 6LY
Department for Transport,DVSA,28/10/2014,Accommodation ,Finance Estates and Performance,BUSINESS STREAM,983600,1135.5,WATER CHARGES LIVINGSTON GVTS 18/06/14-02/10/14,EH12 1GT
Department for Transport,DVSA,28/10/2014,Accommodation ,Finance Estates and Performance,INTERSERVE FS(UK) LTD,983576,848.16,OFFICE CLEANING 10/10/14-06/11/14,DY1 4TA
Department for Transport,DVSA,28/10/2014,Computer Costs,Chief Information Officer,TALEND LTD,983931,1320,"VOSAPO19191,T&S - from Support Services carried out on MOT for ETL - Talend 200",SL6 1AD
Department for Transport,DVSA,28/10/2014,Computer Costs,Chief Information Officer,TALEND LTD,983932,480,"VOSAPO19191,T&S - from Support Services carried out on MOT for ETL - Talend 200",SL6 1AD
Department for Transport,DVSA,28/10/2014,Computer Costs,Chief Information Officer,TALEND LTD,983901,-1534.05,"VOSAPO19217,Travel hotel Subsistence for TALEND staff on site with MOT Devleopment for ETL - 14/7-12/8 ",SL6 1AD
Department for Transport,DVSA,28/10/2014,Computer Costs,Chief Information Officer,TALEND LTD,983916,1534.05,"VOSAPO19217,Travel hotel Subsistence for TALEND staff on site with MOT Devleopment for ETL - 14/7-12/8 ",SL6 1AD
Department for Transport,DVSA,28/10/2014,Computer Costs,Chief Information Officer,TALEND LTD,983917,1204.98,"VOSAPO19217,Travel hotel Subsistence for TALEND staff on site with MOT Devleopment for ETL - 14/7-12/8 ",SL6 1AD
Department for Transport,DVSA,28/10/2014,Computer Costs,Chief Information Officer,TALEND LTD,983918,1506.23,"VOSAPO19217,Travel hotel Subsistence for TALEND staff on site with MOT Devleopment for ETL - 14/7-12/8 ",SL6 1AD
Department for Transport,DVSA,28/10/2014,Computer Costs,Chief Information Officer,TALEND LTD,983925,1159.27,"VOSAPO19217,Travel hotel Subsistence for TALEND staff on site with MOT Devleopment for ETL - 14/7-12/8 ",SL6 1AD
Department for Transport,DVSA,28/10/2014,Computer Costs,Chief Information Officer,TALEND LTD,983937,-1204.98,"VOSAPO19217,Travel hotel Subsistence for TALEND staff on site with MOT Devleopment for ETL - 14/7-12/8 ",SL6 1AD
Department for Transport,DVSA,28/10/2014,Legal Charges,Operations HQ,HINE & CO,983929,2430.72,"VOSAPO19305,0959-0-58.SJP OP CHUNG SOUTH WEST DELIVERY SERVICES LTD DRIVER CONDUCT HEARINGS",EX6 7JA
Department for Transport,DVSA,28/10/2014,Office Machinery,Operations HQ,DIRECT MICROFILM SERVICES,983571,219.8,BUIC 3400 ROTARY CAMERA MAINTENANCE,HU16 4PF
Department for Transport,DVSA,28/10/2014,Office Machinery,Finance Estates and Performance,DIRECT MICROFILM SERVICES,983571,439.6,BUIC 3400 ROTARY CAMERA MAINTENANCE,HU16 4PF
Department for Transport,DVSA,28/10/2014,Postage and Stationery,Operations HQ,ROYAL MAIL,983580,1508.89,MAIL CHARGES,S49 1HQ
Department for Transport,DVSA,28/10/2014,Telecommunication,Chief Information Officer,VODAFONE,983585,538.48,UKLINK PRICEWATCH-BRISTOL,RG14 5FF
Department for Transport,DVSA,28/10/2014,Testing Equipment Maintenance,Finance Estates and Performance,RING AUTOMOTIVE LTD,983906,1138.68,"VOSAPO18941,30x led lamps for new entrant TE's",LS12 6NA
Department for Transport,DVSA,28/10/2014,Trade Shows,Strategy and Customer,ZERO 1 EXHIBITIONS LTD,983586,3000,COST OF STAND BUILD FOR THE EURO BUS AT THE NEC,WS2 7PB
Department for Transport,DVSA,28/10/2014,Trade Shows,Strategy and Customer,ZERO 1 EXHIBITIONS LTD,983587,3000,FOR DESIGN AND BUILD FOR THE EURO BUS AT THE NEC,WS2 7PB
Department for Transport,DVSA,28/10/2014,Training,Human Resources,CAPITA BUSINESS SERVICES LIMITED,983938,559.06,"VOSAPO16455,First Aid Training Course - 09.10.14",SW1H 0XA
Department for Transport,DVSA,28/10/2014,Training,Human Resources,CAPITA BUSINESS SERVICES LIMITED,983933,1552.8,"VOSAPO18824,Learning & Development",SW1H 0XA
Department for Transport,DVSA,28/10/2014,Travel and Subsistence,Finance Estates and Performance,ALLSTAR BUSINESS SOLUTIONS,983601,28541.59,FUEL TRANSACTIONS OCT 2014.1,SN5 6PS
Department for Transport,DVSA,29/10/2014,Accommodation,Finance Estates and Performance,JAMIESONS LTD,984302,4906.78,"VOSAPO18237,Chadderton. Supply and replace 20no. high level sodium light fittings. Supply and replace 28no. 6V 12ah batteries in 14no. twin spot emergency lights. Supply and replace 28no. 8W emergency bulkhead fittings with suitable",NG10 4QE
Department for Transport,DVSA,29/10/2014,Accommodation,Finance Estates and Performance,JAMIESONS LTD,984273,987.6,"VOSAPO18632,Crimplesham. Supply and replace Zip Hydroboil 1.5Ltr water heater. All as per quotation provided. Access to be agreed with the station managre in advance. Works to be completed by end of October 2014.",NG10 4QE
Department for Transport,DVSA,29/10/2014,Accommodation,Finance Estates and Performance,LIVINGSTON PROPERTY MAINTENANCE LTD (CIS),984258,2220,"VOSAPO18874,Various works at Bishopbriggs Training Centre",EH54 8RA
Department for Transport,DVSA,29/10/2014,Accommodation,Finance Estates and Performance,T J ALDRIDGE BUILDERS LTD,984271,838.69,"VOSAPO18320,Royston. Decomission reception toilet area. Take down damaged ceiling isolate electrics isolate water supply and secure door with hasp staple and padlock. Remove rubbish from site. Access to be agreed with station manage",LU4 8NU
Department for Transport,DVSA,29/10/2014,Accommodation ,Finance Estates and Performance,CORONA ENERGY,983953,7929.49,GAS CHARGES ALL SITES SEPT 2014,WD17 1JW
Department for Transport,DVSA,29/10/2014,Accommodation ,Finance Estates and Performance,NORTHUMBRIAN WATER LTD,983971,1164.37,WATER CHARGES 19/06/14-25/09/14 BERWICK GVTS,DH1 9WQ
Department for Transport,DVSA,29/10/2014,Electricity,Finance Estates and Performance,EDF ENERGY - AP,983990,2715.74,ELECTRICITY CHARGES BERKELEY HOUSE 01-30/09/14,PL3 5XQ
Department for Transport,DVSA,29/10/2014,Electricity,Finance Estates and Performance,EDF ENERGY - AP,983991,2928.84,ELECTRICITY CHARGES CHADDERTON GVTS 01-30/09/14,PL3 5XQ
Department for Transport,DVSA,29/10/2014,Electricity,Finance Estates and Performance,EDF ENERGY - AP,983987,835,ELECTRICITY CHARGES KIDDERMINSTER GVTS 01/09/14-30/09/14,PL3 5XQ
Department for Transport,DVSA,29/10/2014,Electricity,Finance Estates and Performance,EDF ENERGY - AP,983989,1040.78,ELECTRICITY CHARGES LEEDS GVTS 01-30/09/14,PL3 5XQ
Department for Transport,DVSA,29/10/2014,Electricity,Finance Estates and Performance,EDF ENERGY - AP,983988,674.94,ELECTRICITY CHARGES NORTHAMPTON GVTS 01/09/14-30/09/14,PL3 5XQ
Department for Transport,DVSA,29/10/2014,MOT Computerisation,Chief Information Officer,ATOS WORLDLINE UK LTD,983942,1468.1,"VOSAPO19278,MOT COMP Additional Documents - Sept 14",WV10 6UH
Department for Transport,DVSA,29/10/2014,Postage and Stationery,Vehicle Testing,NEOPOST LTD,983948,500,FRANKING MACHINE TOP UP,RM1 2AR
Department for Transport,DVSA,29/10/2014,Publications,#,GOVDELIVERY INC,984301,9960,"VOSAPO15662,Transactional Messaging Service (TMS) providing a effective subscription based platform for large scale email communication delivery to DVSA customers and the public who sign up for the service.",RH11 7AS
Department for Transport,DVSA,29/10/2014,Publications,Finance Estates and Performance,GOVDELIVERY INC,984301,19920,"VOSAPO15662,Transactional Messaging Service (TMS) providing a effective subscription based platform for large scale email communication delivery to DVSA customers and the public who sign up for the service.",RH11 7AS
Department for Transport,DVSA,29/10/2014,Telecommunication,Chief Information Officer,INCOM TELECOMMUNICATIONS,983965,689.99,X1 MERIDIAN 3904 TELEPHONE & X1 POLYCOM SOUNDSTATION 2 WIRELESS-FOR BH,M17 1WD
Department for Transport,DVSA,29/10/2014,Testing Equipment Maintenance,Finance Estates and Performance,VL TEST SYSTEMS LTD,984257,3708.44,"VOSAPO19370,Quarter 3 - 2014 adjustment. JulyAugust September.",MK18 1WA
Department for Transport,DVSA,29/10/2014,Training,Human Resources,CAPITA BUSINESS SERVICES LTD,983979,1325.22,Training,DL1 9HN
Department for Transport,DVSA,29/10/2014,Training,Human Resources,CAPITA BUSINESS SERVICES LTD,983980,774.54,Training,DL1 9HN
Department for Transport,DVSA,29/10/2014,Training,Human Resources,HUGH JAMES SOLICITORS,983947,5040,Training,CF10 1DY
Department for Transport,DVSA,30/10/2014,Accommodation ,Finance Estates and Performance,ELEMENT UK LIMITED,984307,513,OFFICE CLEANING SEP 14 @ GUILDFORD,SE14 5RW
Department for Transport,DVSA,30/10/2014,Computer Costs,Finance Estates and Performance,VALTECH LTD,984328,191700,MOBILE COMPLIANCE DELIVERY PHASE 3/60V,EC1A 4JQ
Department for Transport,DVSA,30/10/2014,Postage and Stationery,Office of the Traffic Commissioners and Licensing,NEOPOST LTD,984326,1000,FRANKING MACHINE TOP UP-,RM1 2AR
Department for Transport,DVSA,30/10/2014,Postage and Stationery,Office of the Traffic Commissioners and Licensing,ROYAL MAIL,984635,809.41,1ST & 2ND CLASS MAIL CHARGES,S49 1HQ
Department for Transport,DVSA,30/10/2014,Postage and Stationery,Operations HQ,ROYAL MAIL,984637,1220.94,BUSINESS MAIL ADVANCE CHARGES -,S49 1HQ
Department for Transport,DVSA,30/10/2014,Rent,Finance Estates and Performance,THREADNEEDLE PROPERTY UNIT TRUST,984327,60865.91,RENT & SERVICE CHARGE 28/11/14-27/02/15 @ EDINBURGH TAN,SN3 9AP
Department for Transport,DVSA,30/10/2014,Stationary,Operations HQ,WILLIAMS LEA LTD,984604,-648,"VOSAPO12717,PG14/2 - Test Card",NR3 1PD
Department for Transport,DVSA,30/10/2014,Stationary,Operations HQ,WILLIAMS LEA LTD,984619,5326.2,"VOSAPO12717,PG14/2 - Test Card",NR3 1PD
Department for Transport,DVSA,30/10/2014,Stationary,Operations HQ,WILLIAMS LEA LTD,984618,8134.48,"VOSAPO14694,VTG5 - HGV Test Certificates",NR3 1PD
Department for Transport,DVSA,30/10/2014,Testing Transformation costs,Finance Estates and Performance,DISPOSAL SERVICES AUTHORITY,984588,12000,"VOSAPO19099,Annual management fee for the disposal service level agreement number 016/005/3105. Effective dates from 15th October 2014 to 16th October 2015.",OX25 2LD
Department for Transport,DVSA,30/10/2014,Trade Shows,Strategy and Customer,MASTERPRIOR LTD T/AS ACCOMMODATIONS UK,984343,1175.25,NGT ROAD SHOW COLCHESTER  16/10/14,NE3 1ND
Department for Transport,DVSA,30/10/2014,Trade Shows,Strategy and Customer,MASTERPRIOR LTD T/AS ACCOMMODATIONS UK,984342,1111.5,NGT ROAD SHOW DONCASTER  09/10/14,NE3 1ND
Department for Transport,DVSA,30/10/2014,Trade Shows,Strategy and Customer,MASTERPRIOR LTD T/AS ACCOMMODATIONS UK,984339,1175.25,NGT ROAD SHOW GATWICK 21/10/14,NE3 1ND
Department for Transport,DVSA,30/10/2014,Trade Shows,Strategy and Customer,MASTERPRIOR LTD T/AS ACCOMMODATIONS UK,984345,995.45,NGT ROAD SHOW GRIMSBY  13/10/14,NE3 1ND
Department for Transport,DVSA,30/10/2014,Trade Shows,Strategy and Customer,MASTERPRIOR LTD T/AS ACCOMMODATIONS UK,984340,1266.25,NGT ROAD SHOW MAIDSTONE  20/10/14,NE3 1ND
Department for Transport,DVSA,30/10/2014,Trade Shows,Strategy and Customer,MASTERPRIOR LTD T/AS ACCOMMODATIONS UK,984344,1051.65,NGT ROAD SHOW MANCHESTER  16/10/14,NE3 1ND
Department for Transport,DVSA,30/10/2014,Trade Shows,Strategy and Customer,MASTERPRIOR LTD T/AS ACCOMMODATIONS UK,984341,1090,NGT ROAD SHOW SOLIHULL  14/10/14,NE3 1ND
Department for Transport,DVSA,30/10/2014,Travel and Subsistence,Road Traffic Enforcement,ENTERPRISE RENT-A-CAR,984308,73.5,WEEKLY CONSOLIDATED INVOICE 15-21/10/14,TW20 8RX
Department for Transport,DVSA,30/10/2014,Travel and Subsistence,#,ENTERPRISE RENT-A-CAR,984308,520.8,WEEKLY CONSOLIDATED INVOICE 15-21/10/14,TW20 8RX
Department for Transport,DVSA,30/10/2014,Travel and Subsistence,Finance Estates and Performance,ENTERPRISE RENT-A-CAR,984311,3172.08,WEEKLY CONSOLIDATED INVOICE 15-21/10/14,TW20 8RX
Department for Transport,DVSA,30/10/2014,Travel and Subsistence,Finance Estates and Performance,GOVERNMENT CAR SERVICE,984630,23375,ADMINISTRATION FEE 01/07/14-30/09/14,SW8 5AX
Department for Transport,DVSA,30/10/2014,Travel and Subsistence,Finance Estates and Performance,GOVERNMENT CAR SERVICE,984631,4115.8,MANAGEMENT FEE SEP 14,SW8 5AX
Department for Transport,DVSA,30/10/2014,Travel and Subsistence,Finance Estates and Performance,GOVERNMENT CAR SERVICE,984629,16332.63,VEHICLE MAINTENANCE SEP 14,SW8 5AX
Department for Transport,DVSA,30/10/2014,Travel and Subsistence,Finance Estates and Performance,LEX AUTOLEASE LTD,984314,11670.52,FLEET 577221 1/4LY IN ARREARS LEASE PAYMENT,SK3 0RB
Department for Transport,DVSA,30/10/2014,Travel and Subsistence,Vehicle Testing,STAFF TRAVEL COSTS,984485,181.3,T&S,#
Department for Transport,DVSA,30/10/2014,Travel and Subsistence,Vehicle Testing,STAFF TRAVEL COSTS,984485,445.25,T&S,#
Department for Transport,DVSA,31/10/2014,Accommodation,Finance Estates and Performance,CHUBB FIRE & SECURITY LTD,984857,1139.71,SERVICE FIRE EXTIGUISHERS @ NEWCASTLE,BB1 2QS
Department for Transport,DVSA,31/10/2014,Accommodation,Finance Estates and Performance,CSS SUSSEX,984594,8435.16,"VOSAPO15811,Reception/meeting room alterations - Guildford (Meeting room: removal of current door to form new porch new doorway fitting new wall/window relocation of distribution panel. Reception: re-opening of existing doorway)",BN3 7ES
Department for Transport,DVSA,31/10/2014,Accommodation,Finance Estates and Performance,DREW & CO. (ELECTRICAL CONTRACTORS) LTD,984870,737.22,"VOSAPO18553,Attend Redruth and survey all lighting in test hall",PL1 3JB
Department for Transport,DVSA,31/10/2014,Accommodation,Finance Estates and Performance,KONE PLC,984883,169.5,"VOSAPO19460,Berkeley House. Call out to lift lights not working.",BD21 4YA
Department for Transport,DVSA,31/10/2014,Accommodation,Finance Estates and Performance,KONE PLC,984883,219,"VOSAPO19460,Berkeley House. Call out to lift stuck on ground floor.",BD21 4YA
Department for Transport,DVSA,31/10/2014,Accommodation,Finance Estates and Performance,KONE PLC,984883,186,"VOSAPO19460,Berkeley House. Call out to lift stuck with passenger inside.",BD21 4YA
Department for Transport,DVSA,31/10/2014,Accommodation ,Vehicle Testing,PACE FUELCARE LTD,984892,1295.22,"VOSAPO18912,Fuel For Bishopbriggs Station 63 - Estimated amount 2200 Litres    A/C 8500646",TW20 9AB
Department for Transport,DVSA,31/10/2014,Capital Expenditure - Freehold Buildings,Finance Estates and Performance,CSS SUSSEX,984605,1766.4,"VOSAPO17235,Handcross. Install 1no. waterproof socket to north post 1no. waterproof socket in south post cables run back to distrabution board with 10A RCBO's. Include for Cobra rodding system and draw ropes. All as per quote. Acces",BN3 7ES
Department for Transport,DVSA,31/10/2014,Computer Costs,Chief Information Officer,TALEND LTD,984867,18130.2,"VOSAPO17839,IT support for work on the MOT Modernisation ETL Tool - supports 123 hours only",SL6 1AD
Department for Transport,DVSA,31/10/2014,Computer Costs,Chief Information Officer,TALEND LTD,984889,29480,"VOSAPO18519,Support Services 200 Hours",SL6 1AD
Department for Transport,DVSA,31/10/2014,Construction Industry Tax,Finance Estates and Performance,CSS SUSSEX,984594,-600,CSS -20% DEDUCTION,BN3 7ES
Department for Transport,DVSA,31/10/2014,Construction Industry Tax,Finance Estates and Performance,CSS SUSSEX,984605,-160,CSS -20% DEDUCTION,BN3 7ES
Department for Transport,DVSA,31/10/2014,Consultancy,Strategy and Customer,DEPARTMENT for TRANSPORT,984858,8680,IN HOUSE ANALYTICAL CONSULTANCY WORK FOR MOT COMPLIANCE,SA7 0EA
Department for Transport,DVSA,31/10/2014,Health and Safety,Chief Executive,OSMOND GROUP LIMITED,983279,-14.9,"VOSAPO14812,Desk heigh adj. blocks (Set of 4 x 25mm high)",BH21 7SE
Department for Transport,DVSA,31/10/2014,Health and Safety,Chief Executive,OSMOND GROUP LIMITED,983279,-594.12,"VOSAPO14812,RH 400 Chair - without arms or neckrest",BH21 7SE
Department for Transport,DVSA,31/10/2014,Health and Safety,Chief Executive,OSMOND GROUP LIMITED,983279,-81.43,"VOSAPO14812,RH Arm Rests - pivot tops - pair (215-295mm)",BH21 7SE
Department for Transport,DVSA,31/10/2014,Health and Safety,Chief Executive,OSMOND GROUP LIMITED,983279,-147.08,"VOSAPO14812,Value Added Tax - header level",BH21 7SE
Department for Transport,DVSA,31/10/2014,Health and Safety,Chief Executive,OSMOND GROUP LIMITED,983279,-44.93,"VOSAPO14812,XL Seatpan 485mm x 515mm deep (surcharge)",BH21 7SE
Department for Transport,DVSA,31/10/2014,Health and Safety,Chief Executive,OSMOND GROUP LIMITED,984876,79.56,"VOSAPO18823,FLO ARMRESTS",BH21 7SE
