Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,
Department for Transport,DVSA,19/12/2014,Telecommunication,Chief Information Officer,VODAFONE - (C&W),998038,553,UKLINK PRICEWATCH @ BRISTOL,MK3 5JP,
Department for Transport,DVSA,19/12/2014,Travel and Subsistence,Finance Estates and Performance,MACKWORTH VEHICLE CONVERSION SPECIALISTS,998016,1498.8,SERVICE & REPAIR LX08 FBZ REPAIR OF TRAVEL POWER SYSTEM & REPLACE ONBOARD GENERATOR,DE22 4NB,
Department for Transport,DVSA,19/12/2014,Travel and Subsistence,Finance Estates and Performance,LEX AUTOLEASE LTD,998015,30522.87,FLEET 577221 1/4LY IN ARREARS LEASE PAYMENT,SK3 0RB,
Department for Transport,DVSA,19/12/2014,Travel and Subsistence,Operations HQ,PREMIER INN BUSINESS ACCOUNT,998022,574,CONSOLIDATED INVOICE ACCOMMODATION CHARGES NOV 14,WV10 6UH,
Department for Transport,DVSA,22/12/2014,Accommodation,Finance Estates and Performance,A-SPIRE MAINTENANCE LIMITED (CIS),996349,4795.2,"VOSAPO17211,Remove Existing Chimney at Lancing GVTS - condemned during Annual Inspection",DE23 8LW,
Department for Transport,DVSA,22/12/2014,Accommodation,Finance Estates and Performance,INDUSTRIAL BUILDING SOLUTIONS LIMITED,998643,1074,"VOSAPO18723,Kidderminster. Supply and fit a hot air welded PVC stap to the existing membrane where defect identified. All as per quotation provided. Program to be agreed with the station manager in advance and completed by end of Oc",BH21 6SZ,
Department for Transport,DVSA,22/12/2014,Accommodation,Finance Estates and Performance,LIVINGSTON PROPERTY MAINTENANCE LTD (CIS),998690,1776,"VOSAPO20221,Repair/ Replace Various Lights at Livingston GVTS",EH54 8RA,
Department for Transport,DVSA,22/12/2014,Accommodation ,Finance Estates and Performance,OCS GROUP UK LTD,998667,2051.29,"VOSAPO20335,Office Cleaning at Chadderton",SE1 9WP,
Department for Transport,DVSA,22/12/2014,Computer Costs,Chief Information Officer,ATOS IT SERVICES UK LTD,998655,619560.73,"VOSAPO20757,IS2003 Atos Monthly Invoice - up to 15th December 2014",WV10 6UH,
Department for Transport,DVSA,22/12/2014,Computer Costs,Chief Information Officer,TALEND LTD,998685,840,"VOSAPO19013,ETL Travel & Subsistence - 40 days at per diem rate ��120 per day",SL6 1AD,
Department for Transport,DVSA,22/12/2014,Computer Costs,Chief Information Officer,TALEND LTD,998691,47168,"VOSAPO20264,ETL - Support Services for ETL tool 320 hours approx 40 days",SL6 1AD,
Department for Transport,DVSA,22/12/2014,Computer Costs,Chief Information Officer,TALEND LTD,998692,1080,"VOSAPO20264,ETL - T&S 640 hours or approx 80 days at DVSA standard terms of ��120 per day",SL6 1AD,
Department for Transport,DVSA,22/12/2014,Construction Industry Tax,Finance Estates and Performance,A-SPIRE MAINTENANCE LIMITED (CIS),996349,-265.87,A-SPIRE MAINTENANCE LTD - 20% DEDUCTION,DE23 8LW,
Department for Transport,DVSA,22/12/2014,Japanese Data Verification,Operations,VEHICLE CERTIFICATION AGENCY,998633,697.64,SUPPLY ENFORCEMENT DATA FROM JAPAN JUL-SEP 14,BS5 6XX,
Department for Transport,DVSA,22/12/2014,Legal Charges,Operations HQ,HUNT & COOMBS SOLICITORS,998664,757.8,"VOSAPO20708,0625-1-88.HN ",PE3 6AG,
Department for Transport,DVSA,22/12/2014,Major Maintenance,Finance Estates and Performance,RIDER LEVETT BUCKNELL (CIS),998683,4492.8,"VOSAPO20209,Berkeley House. Directors suite project fee. Cost for November 2014 as per monthly fee sheet.",B3 2BH,
Department for Transport,DVSA,22/12/2014,Major Maintenance,Finance Estates and Performance,RIDER LEVETT BUCKNELL (CIS),998684,1206,"VOSAPO20209,Jubilee House. First floor feasibility/ space planning fee. Cost for November 2014 as per monthly fee sheet.",B3 2BH,
Department for Transport,DVSA,22/12/2014,MOT Computerisation,Chief Information Officer,ATOS WORLDLINE UK LTD,998656,701300.86,"VOSAPO20758,VPT Charge up to 15th December 2014 - MOT COMP",WV10 6UH,
Department for Transport,DVSA,22/12/2014,Rent,Finance Estates and Performance,FRANK BRUCE & CO LTD,998411,-2012.05,CREDIT FOR BH CAR PARKING RENT FROM 14/11/14-31/12/14,BS5 8RS,
Department for Transport,DVSA,22/12/2014,Rent,Finance Estates and Performance,FRANK BRUCE & CO LTD,998419,8692.5,BH CAR PARKING RENT 01/01/15-31/03/14,BS5 8RS,
Department for Transport,DVSA,22/12/2014,Testing Equipment Maintenance,Finance Estates and Performance,BM AUTOTEKNIK,998661,1617.19,"VOSAPO20311,Delivery of RBT to Bishopbriggs GVTS",#,
Department for Transport,DVSA,22/12/2014,Testing Equipment Maintenance,Finance Estates and Performance,BM AUTOTEKNIK,998661,13451.15,"VOSAPO20311,MRBT Refurbish for Glenluce (as per option list 1.3)",#,
Department for Transport,DVSA,22/12/2014,Testing Equipment Maintenance,Finance Estates and Performance,BABCOCK SUPPORT SERVICES LTD,998679,1200,"VOSAPO18523,Service charge per visit",BS34 8JH,
Department for Transport,DVSA,22/12/2014,Travel and Subsistence,Finance Estates and Performance,MARK POCKLINGTON TRANSPORT LTD,998405,720,GALAXY SEAT TRANSPORTATION - AVONMOUTH TO WALSALL,PE24 4RN,
Department for Transport,DVSA,22/12/2014,Travel and Subsistence,Human Resources,OAKS CATERING LTD,998431,660,BUFFET FOR 2 DAY INTERNAL CONNECTIVITY DAY FOR 60 DVSA STAFF 11-12/12/14,BS2 0JE,
Department for Transport,DVSA,22/12/2014,Travel and Subsistence,Operations HQ,STAFF TRAVEL COSTS,998467,509,T&S,LS26 8HE,
Department for Transport,DVSA,22/12/2014,Legal Charges,Chief Executive,TREASURY SOLICITORS DEPARTMENT,998631,769,PROFESSIONAL CHARGES UPTO 30/11/14,WC2B 4TS,
Department for Transport,DVSA,22/12/2014,Legal Charges,Chief Executive,TREASURY SOLICITORS DEPARTMENT,998632,1343.64,PROFESSIONAL CHARGES UPTO 30/11/14,WC2B 4TS,
Department for Transport,DVSA,23/12/2014,Accommodation,Finance Estates and Performance,BROADSTOCK OFFICE FURNITURE,999090,201.6,"VOSAPO19936,Spigot T-Foot for freestanding screen (350mm length)",SK11 OTA,
Department for Transport,DVSA,23/12/2014,Accommodation,Finance Estates and Performance,BROADSTOCK OFFICE FURNITURE,999090,842.4,"VOSAPO19936,Screens for REO/PI Office 1st floor at Avonmouth GVTS (Blue)",SK11 OTA,
Department for Transport,DVSA,23/12/2014,Accommodation,Finance Estates and Performance,KD DOORS (CIS),999091,626.89,"VOSAPO19119,Supply and Install 1no new drive chain to replace old worn chain. pinch over and square off top lath to give clearance from headplate to avoid possible damage.",ML4 3LP,
Department for Transport,DVSA,23/12/2014,Accommodation,Finance Estates and Performance,CLEANSING SERVICE GROUP LTD (CIS),999092,758.4,"VOSAPO17573,High Pressure water jetting/vacuum removal of drainage systems. Interceptor clean & empty Disposal of effluent",PO15 5TT,
Department for Transport,DVSA,23/12/2014,Accommodation,Finance Estates and Performance,KD DOORS (CIS),999096,718.1,"VOSAPO19046,Secure flashings to top of canopy sealing all gaps to avoid water from entering building.",ML4 3LP,
Department for Transport,DVSA,23/12/2014,Accommodation ,Finance Estates and Performance,MINSTER CLEANING SERVICES: NORFOLK AND SUFFOLK,999095,500.53,"VOSAPO17769,Monthly Cleaning at Crimplesham",IP23 7HU,
Department for Transport,DVSA,23/12/2014,Accommodation ,Finance Estates and Performance,INTER COUNTY CLEANING SERVICES LTD,999099,52,"VOSAPO20399,Northampton GVTS internal window cleaning visit",NN10 6EN,
Department for Transport,DVSA,23/12/2014,Accommodation ,Finance Estates and Performance,INTER COUNTY CLEANING SERVICES LTD,999099,196.5,",Value Added Tax - header level",NN10 6EN,
Department for Transport,DVSA,23/12/2014,Accommodation ,Finance Estates and Performance,INTER COUNTY CLEANING SERVICES LTD,999099,930.5,"VOSAPO11956,Northampton GVTS general cleaning monthly service",NN10 6EN,
Department for Transport,DVSA,23/12/2014,Accommodation ,Vehicle Testing,PACE FUELCARE LTD,999103,1115.96,"VOSAPO20434,HEATING FUEL",TW20 9AB,
Department for Transport,DVSA,23/12/2014,Capital Expenditure - Freehold Buildings,Finance Estates and Performance,R J McLEOD (CONTRACTORS) LTD,999085,191213.46,CONSTRUCTION WORKS @ GLENLUCE ,G32 8XT,
Department for Transport,DVSA,23/12/2014,Postage and Stationery,Operations HQ,PARCELFORCE WORLDWIDE,999065,4794.78,UK PARCEL CHARGES,S49 1HQ,
Department for Transport,DVSA,23/12/2014,Postage and Stationery,Operations HQ,ROYAL MAIL,999066,2822.82,BUSINESS MAIL ADVANCED CHARGES,S49 1HQ,
Department for Transport,DVSA,23/12/2014,Rent,Finance Estates and Performance,DOVER HARBOUR BOARD,998706,2250,RENT - 25/12/2014 TO 24/03/2015 - DOVER WEST DOCKS,CT17 9BU,
Department for Transport,DVSA,23/12/2014,Rent,Finance Estates and Performance,LAMBERT SMITH HAMPTON GROUP LTD,998707,34713.9,RENT - 25/12/2014 TO 24/03/2015 - ASHFORD,W1D 1NN,
Department for Transport,DVSA,23/12/2014,Rent,Finance Estates and Performance,GUILDFORD BOROUGH COUNCIL,998708,17303.1,RENT - 25/12/2014 TO 24/03/2015 - GUILDFORD,GU2 4BB,
Department for Transport,DVSA,23/12/2014,Training,Human Resources,CAPITA BUSINESS SERVICES LIMITED,997619,1950,"VOSAPO18215,CSL Training Course 'BCI GPG & Exam' ",DL1 9HN,
Department for Transport,DVSA,23/12/2014,Travel and Subsistence,Finance Estates and Performance,ALLSTAR BUSINESS SOLUTIONS,998709,26516.99,FUEL TRANSACTIONS  DEC 2014.1,SN5 6PS,
Department for Transport,DVSA,23/12/2014,Travel and Subsistence,Finance Estates and Performance,ENTERPRISE RENT-A-CAR,999049,3726.06,WEEKLY CONSOLIDATED INVOICE 10-16/12/14,TW20 8RX,
Department for Transport,DVSA,23/12/2014,Travel and Subsistence,Finance Estates and Performance,GOVERNMENT CAR SERVICE,999052,3846.69,FLEET MANAGEMENT FEE NOV 14,SW8 5AX,
Department for Transport,DVSA,23/12/2014,Travel and Subsistence,Finance Estates and Performance,GOVERNMENT CAR SERVICE,999053,18358.69,VEHICLE MAINTENANCE CHARGES NOV 14,SW8 5AX,
Department for Transport,DVSA,23/12/2014,Computer Costs,Finance Estates and Performance,KAINOS SOFTWARE LIMITED,999054,41280,MOT BUILD PHASE EXPENSES NOV 14 ,BT7 1NT,
Department for Transport,DVSA,23/12/2014,Computer Costs,Finance Estates and Performance,KAINOS SOFTWARE LIMITED,999055,479800.49,MOT BUILD NOV 14 AUTHORISED ,BT7 1NT,
Department for Transport,DVSA,23/12/2014,Computer Costs,Finance Estates and Performance,KAINOS SOFTWARE LIMITED,999056,6609.5,FORGEROCK CONSULTANCY & ARCHITECTURE WORKSHOP 09-13/06/14 ,BT7 1NT,
Department for Transport,DVSA,23/12/2014,Computer Costs,Finance Estates and Performance,VALTECH LTD,999068,13025,CPMS - DELIVERY PHASE 4 EXPENSES ,EC1A 4JQ,
Department for Transport,DVSA,23/12/2014,Computer Costs,Finance Estates and Performance,VALTECH LTD,999069,12215,CPMS - DELIVERY PHASE 4 EXPENSES ,EC1A 4JQ,
Department for Transport,DVSA,23/12/2014,Computer Costs,Finance Estates and Performance,VALTECH LTD,999070,3200,OLCS TECHNICAL REFRESH & MODERNISATION DELIVERY PHASE 4 ,EC1A 4JQ,
Department for Transport,DVSA,23/12/2014,Computer Costs,Finance Estates and Performance,VALTECH LTD,999071,22900,MOBILE COMPLIANCE DELIVERY PHASE 4 EXPENSES (NOV) ,EC1A 4JQ,
Department for Transport,DVSA,23/12/2014,Computer Costs,Finance Estates and Performance,VALTECH LTD,999072,10715,MOBILE COMPLIANCE DELIVERY PHASE 4 EXPENSES (OCT) ,EC1A 4JQ,
Department for Transport,DVSA,23/12/2014,Computer Costs,Finance Estates and Performance,VALTECH LTD,999073,5410,MOT DATA MIGRATION & SUPPORT PHASE 4 EXPENSES ,EC1A 4JQ,
Department for Transport,DVSA,23/12/2014,Computer Costs,Finance Estates and Performance,VALTECH LTD,999074,5410,CPMS DELIVERY PHASE 4 EXPENSES (NOV) ,EC1A 4JQ,
Department for Transport,DVSA,23/12/2014,Computer Costs,Finance Estates and Performance,VALTECH LTD,999075,106450,CPMS DELIVERY PHASE 4/78V ,EC1A 4JQ,
Department for Transport,DVSA,23/12/2014,Computer Costs,Finance Estates and Performance,VALTECH LTD,999076,204525,OLCS TECHNICAL REFRESH & MODERNISATION DELIVERY PHASE 4/80V ,EC1A 4JQ,
Department for Transport,DVSA,23/12/2014,Computer Costs,Finance Estates and Performance,VALTECH LTD,999077,202562.5,MOBILE COMPLIANCE DELIVERY PHASE 4/81V ,EC1A 4JQ,
Department for Transport,DVSA,23/12/2014,Computer Costs,Finance Estates and Performance,VALTECH LTD,999078,88450,MOT DELIVERY PHASE 4/82V ,EC1A 4JQ,
Department for Transport,DVSA,23/12/2014,Computer Costs,Finance Estates and Performance,VALTECH LTD,999079,25000,MOT DATA MIGRATION & SUPPORT PHASE 4/82V ,EC1A 4JQ,
Department for Transport,DVSA,23/12/2014,Computer Costs,Finance Estates and Performance,VALTECH LTD,999080,-5410,CREDIT FOR CPMS DELIVERY PHASE 4 EXPENSES/78V,EC1A 4JQ,
Department for Transport,DVSA,24/12/2014,Accommodation,Finance Estates and Performance,CLEANSING SERVICE GROUP LTD (CIS),999483,1284,"VOSAPO17573,High Pressure water jetting/vacuum removal of drainage systems. Interceptor clean & empty Disposal of effluent",PO15 5TT,
Department for Transport,DVSA,24/12/2014,Capital Expenditure - Rented Property Improvements,Finance Estates and Performance,R&W CIVIL ENGINEERING & HIGHWAY MAINTENANCE,999107,210000,PROFESSIONAL FEES - CHILCOMB,SO45 5TD,
Department for Transport,DVSA,24/12/2014,Computer Costs,Operations HQ,BANNER BUSINESS SUPPLIES LTD,999469,8.4,"VOSAPO20850,FELLOWES ECONOMY MOUSE PAD BLUE",NR3 1PD,
Department for Transport,DVSA,24/12/2014,Computer Costs,Chief Information Officer,ATOS IT SERVICES UK LTD,999488,376029.87,"VOSAPO20756,Citrix support extension & SAS Licence Renewal",WV10 6UH,
Department for Transport,DVSA,24/12/2014,Computer Costs,Chief Information Officer,ATOS IT SERVICES UK LTD,999499,1201300.14,IS2003 Atos Monthly Invoice NOV 14,WV10 6UH,
Department for Transport,DVSA,24/12/2014,Legal Charges,Office of the Traffic Commissioners and Licensing,HINE & CO,999486,1059.7,"VOSAPO20835,Hine & Co Solicitors: ",EX6 7JA,
Department for Transport,DVSA,24/12/2014,MOT Computerisation,Chief Information Officer,ATOS WORLDLINE UK LTD,999474,1427330.34,"VOSAPO20636,Atos - VPT Charge November 2014 - MOT COMP",WV10 6UH,
Department for Transport,DVSA,24/12/2014,Postage and Stationery,Operations HQ,BANNER BUSINESS SUPPLIES LTD,999469,2.63,"VOSAPO20850,BANNER CORRECTION ROLLER 5MMX8M",NR3 1PD,
Department for Transport,DVSA,24/12/2014,Postage and Stationery,Operations HQ,BANNER BUSINESS SUPPLIES LTD,999469,3.12,"VOSAPO20850,SPIRAL 203X127MM SH N/BOOK 120P",NR3 1PD,
Department for Transport,DVSA,24/12/2014,Postage and Stationery,Operations HQ,BANNER BUSINESS SUPPLIES LTD,999469,7.92,"VOSAPO20850,BANNER STAPLES 24/6",NR3 1PD,
Department for Transport,DVSA,24/12/2014,Postage and Stationery,Operations HQ,BANNER BUSINESS SUPPLIES LTD,999469,2.05,"VOSAPO20850,BANNER CORRECTION FLUID 20ML WHITE",NR3 1PD,
Department for Transport,DVSA,24/12/2014,Postage and Stationery,Operations HQ,BANNER BUSINESS SUPPLIES LTD,999469,635.4,"VOSAPO20850,BANNER CLOSED LOOP PAPER A4 80GSM",NR3 1PD,
Department for Transport,DVSA,24/12/2014,Postage and Stationery,Operations HQ,BANNER BUSINESS SUPPLIES LTD,999469,7.56,"VOSAPO20850,BANNER BRILL SELF-STICK NOTE CUBE",NR3 1PD,
Department for Transport,DVSA,24/12/2014,Postage and Stationery,Operations HQ,BANNER BUSINESS SUPPLIES LTD,999469,1.1,"VOSAPO20850,TRULINE20 BALLPOINT PEN SEC INK BK",NR3 1PD,
Department for Transport,DVSA,24/12/2014,Postage and Stationery,Operations HQ,BANNER BUSINESS SUPPLIES LTD,999469,14.7,"VOSAPO20850,CLENSA WHITEBOARD ERASER",NR3 1PD,
Department for Transport,DVSA,24/12/2014,Postage and Stationery,Operations HQ,BANNER BUSINESS SUPPLIES LTD,999469,14.16,"VOSAPO20850,BANNER ENV 229X162MM PLN 80G GF MA",NR3 1PD,
Department for Transport,DVSA,24/12/2014,Postage and Stationery,Operations HQ,BANNER BUSINESS SUPPLIES LTD,999469,6.48,"VOSAPO20850,ABS STAPLER HALF STRIP BLACK ABS STAPLER HALF STRIP BLACK 0325",NR3 1PD,
Department for Transport,DVSA,24/12/2014,Testing Equipment Maintenance,Operations HQ,BANNER BUSINESS SUPPLIES LTD,999469,3.26,"VOSAPO20850,BANNER EASY TEAR ADH TAPE 24MMX66M",NR3 1PD,
Department for Transport,DVSA,29/12/2014,Accommodation,Finance Estates and Performance,KD DOORS (CIS),999790,1467.79,"VOSAPO19579,Electric Roller Shutter Further to our recent service visit we have pleasure in quoting the following; Supply and Install 1no curvey safety edge cable. Supply and Install 1no optical safety edge. Test operation and demon",ML4 3LP,
Department for Transport,DVSA,29/12/2014,Accommodation,Finance Estates and Performance,CLEARWATER TECHNOLOGY LTD,999806,1228.8,"VOSAPO16588,CSH 1 - Fit an insect screen and lid ventCWST - Replace with fully compliant 25 Gallon plastic tank including installation of lagging to tank and associated local associated pipework",GU15 3YY,
Department for Transport,DVSA,29/12/2014,Accommodation,Finance Estates and Performance,INTERSERVE (FACILITIES MANAGEMENT) LTD,999808,49.79,"VOSAPO20234,Porterage - Northleigh House 08/10/14",BS32 4NH,
Department for Transport,DVSA,29/12/2014,Accommodation,Finance Estates and Performance,INTERSERVE (FACILITIES MANAGEMENT) LTD,999808,49.79,"VOSAPO20234,Minor works (Cigarette Bin Removal) - Northleigh House 20/10/14",BS32 4NH,
Department for Transport,DVSA,29/12/2014,Accommodation,Finance Estates and Performance,INTERSERVE (FACILITIES MANAGEMENT) LTD,999808,48.94,"VOSAPO20234,Minor works (Signage Removal) - Northleigh House 20/10/14",BS32 4NH,
Department for Transport,DVSA,29/12/2014,Accommodation,Finance Estates and Performance,INTERSERVE (FACILITIES MANAGEMENT) LTD,999808,3344.07,"VOSAPO20234,Grounds Maintenance - Northleigh House 18/07/2014",BS32 4NH,
Department for Transport,DVSA,29/12/2014,Accommodation,Finance Estates and Performance,INTERSERVE (FACILITIES MANAGEMENT) LTD,999808,784.99,"VOSAPO20234,CCTV Monitors Part Failure - Berkeley House",BS32 4NH,
Department for Transport,DVSA,29/12/2014,Accommodation,Finance Estates and Performance,INTERSERVE (FACILITIES MANAGEMENT) LTD,999808,63.38,"VOSAPO20234,Fire Door Lock Repair - Northleigh House 08/10/14",BS32 4NH,
Department for Transport,DVSA,29/12/2014,Accommodation,Finance Estates and Performance,INTERSERVE (FACILITIES MANAGEMENT) LTD,999808,2135.2,"VOSAPO20234,Removal of 2x Floor to Ceiling interview counters at Northleigh House 04/04/2014",BS32 4NH,
Department for Transport,DVSA,29/12/2014,Accommodation,Finance Estates and Performance,INTERSERVE (FACILITIES MANAGEMENT) LTD,999808,253.14,"VOSAPO20234,Minor Works - Herford GVTS 21/07/2014",BS32 4NH,
Department for Transport,DVSA,29/12/2014,Accommodation,Finance Estates and Performance,INTERSERVE (FACILITIES MANAGEMENT) LTD,999808,122.84,"VOSAPO20234,New Fixtures and Fittings Berkeley House",BS32 4NH,
Department for Transport,DVSA,29/12/2014,Accommodation,Finance Estates and Performance,INTERSERVE (FACILITIES MANAGEMENT) LTD,999808,217.81,"VOSAPO20234,Minor Works for Northleigh House 29/05/2014",BS32 4NH,
Department for Transport,DVSA,29/12/2014,Accommodation,Finance Estates and Performance,INTERSERVE (FACILITIES MANAGEMENT) LTD,999808,49.79,"VOSAPO20234,Porterage - Berkeley House 08/10/14",BS32 4NH,
Department for Transport,DVSA,29/12/2014,Accommodation,Finance Estates and Performance,INTERSERVE (FACILITIES MANAGEMENT) LTD,999808,689.34,"VOSAPO20234,Minor Works - Purfleet GVTS 12/08/14",BS32 4NH,
Department for Transport,DVSA,29/12/2014,Accommodation,Finance Estates and Performance,INTERSERVE (FACILITIES MANAGEMENT) LTD,999808,503.7,"VOSAPO20234,Major Works Berkeley House 03/10/2013",BS32 4NH,
Department for Transport,DVSA,29/12/2014,Accommodation,Finance Estates and Performance,INTERSERVE (FACILITIES MANAGEMENT) LTD,999808,488.51,"VOSAPO20234,Replacement toilet for Northleigh House 29/05/2014",BS32 4NH,
Department for Transport,DVSA,29/12/2014,Accommodation,Finance Estates and Performance,INTERSERVE (FACILITIES MANAGEMENT) LTD,999808,91.14,"VOSAPO20234,Fixtures/Fittings Repair - Northleigh House 27/08/2014",BS32 4NH,
Department for Transport,DVSA,29/12/2014,Accommodation,Finance Estates and Performance,INTERSERVE (FACILITIES MANAGEMENT) LTD,999808,49.79,"VOSAPO20234,No Smoking Sign - Northleigh House 18/07/2014",BS32 4NH,
Department for Transport,DVSA,29/12/2014,Accommodation,Finance Estates and Performance,INTERSERVE (FACILITIES MANAGEMENT) LTD,999808,209.81,"VOSAPO20234,Lightning PPM  - Northleigh House 26/09/14",BS32 4NH,
Department for Transport,DVSA,29/12/2014,Accommodation,Finance Estates and Performance,INTERSERVE (FACILITIES MANAGEMENT) LTD,999808,47.95,"VOSAPO20234,Removal of Running Man - Northleigh House 18/07/2014",BS32 4NH,
Department for Transport,DVSA,29/12/2014,Accommodation,Finance Estates and Performance,INTERSERVE (FACILITIES MANAGEMENT) LTD,999808,50.79,"VOSAPO20234,Lighting Repair - Northleigh House 27/08/2014",BS32 4NH,
Department for Transport,DVSA,29/12/2014,Accommodation,Finance Estates and Performance,INTERSERVE (FACILITIES MANAGEMENT) LTD,999808,3467.22,"VOSAPO20234,Minor Works for Northleigh House 16/07/2014",BS32 4NH,
Department for Transport,DVSA,29/12/2014,Accommodation,Finance Estates and Performance,INTERSERVE (FACILITIES MANAGEMENT) LTD,999808,49.79,"VOSAPO20234,New Fixture & Fittings - Northleigh House 20/10/14",BS32 4NH,
Department for Transport,DVSA,29/12/2014,Accommodation,Finance Estates and Performance,INTERSERVE (FACILITIES MANAGEMENT) LTD,999808,31.85,"VOSAPO20234,Fire Blanket - Northleigh House 03/10/14",BS32 4NH,
Department for Transport,DVSA,29/12/2014,Accommodation,Finance Estates and Performance,CLEARWATER TECHNOLOGY LTD,999811,1634.4,"VOSAPO16583,The Deadlegs below should be cut back to the supplying pipework:1 - One deadleg located in reception gents WC lefthand side of the basin on cold feed to e.w.h. (15mm copper mcsws) Isolation valve prior to deadleg.2. One",GU15 3YY,
Department for Transport,DVSA,29/12/2014,Accommodation,Finance Estates and Performance,KD DOORS (CIS),999816,3312,"VOSAPO19685,Service of RSD at Lerwick GVTS",ML4 3LP,
Department for Transport,DVSA,29/12/2014,Accommodation,Finance Estates and Performance,CLEARWATER TECHNOLOGY LTD,999826,2408.64,"VOSAPO16589,Calorifier 1 Hot water should be stored at 60c Thermally disinfect the calorfier and turn on leaving the heater operational.CWST 1 install mains water bypass on the cwst(located on office roof)",GU15 3YY,
Department for Transport,DVSA,29/12/2014,Accommodation,Finance Estates and Performance,CLEARWATER TECHNOLOGY LTD,999840,1447.44,"VOSAPO16587,CSH 1 Fit Rodent screen to the overflow increase thermostat to ensure hot water stored at 60c.Clean and disinfect in accordance with HSG274 part 2",GU15 3YY,
Department for Transport,DVSA,29/12/2014,Accommodation ,Finance Estates and Performance,INTERSERVE (FACILITIES MANAGEMENT) LTD,999808,689.34,"VOSAPO20234,Cleaning - Purfleet GVTS 02/09/14",BS32 4NH,
Department for Transport,DVSA,29/12/2014,Accommodation ,Finance Estates and Performance,INTERSERVE (FACILITIES MANAGEMENT) LTD,999808,338.25,"VOSAPO20234,Ad Hoc Security Berkeley House 21/05/2013",BS32 4NH,
Department for Transport,DVSA,29/12/2014,Accommodation ,Finance Estates and Performance,INTERSERVE (FACILITIES MANAGEMENT) LTD,999808,73.13,"VOSAPO20234,Ad Hoc Security Berkeley House 30/04/2013",BS32 4NH,
Department for Transport,DVSA,29/12/2014,Accommodation ,Finance Estates and Performance,INTERSERVE (FACILITIES MANAGEMENT) LTD,999808,99.95,"VOSAPO20234,Ad Hoc Security Berkeley House 07/05/2013",BS32 4NH,
Department for Transport,DVSA,29/12/2014,Accommodation ,Finance Estates and Performance,INTERSERVE (FACILITIES MANAGEMENT) LTD,999808,150.89,"VOSAPO20234,Minor Works Deep Clean Berkeley House",BS32 4NH,
Department for Transport,DVSA,29/12/2014,Accommodation ,Finance Estates and Performance,INTERSERVE (FACILITIES MANAGEMENT) LTD,999808,49.41,"VOSAPO20234,Ad Hoc Security Berkeley House 17/10/14",BS32 4NH,
Department for Transport,DVSA,29/12/2014,Accommodation ,Finance Estates and Performance,INTERSERVE (FACILITIES MANAGEMENT) LTD,999808,225.1,"VOSAPO20234,Ad Hoc Security Berkeley House 24/10/2012",BS32 4NH,
Department for Transport,DVSA,29/12/2014,Accommodation ,Finance Estates and Performance,INTERSERVE (FACILITIES MANAGEMENT) LTD,999808,120.16,"VOSAPO20234,Ad Hoc Security Berkeley House 14/05/2013",BS32 4NH,
Department for Transport,DVSA,29/12/2014,Accommodation ,Finance Estates and Performance,INTERSERVE (FACILITIES MANAGEMENT) LTD,999808,274.42,"VOSAPO20234,Ad Hoc Security Berkeley House 26/10/2012",BS32 4NH,
Department for Transport,DVSA,29/12/2014,Accommodation ,Finance Estates and Performance,INTERSERVE (FACILITIES MANAGEMENT) LTD,999808,1298.43,"VOSAPO20234,Deep Clean Berkeley House",BS32 4NH,
Department for Transport,DVSA,29/12/2014,Accommodation ,Finance Estates and Performance,INTERSERVE (FACILITIES MANAGEMENT) LTD,999808,428.09,"VOSAPO20234,Ad Hoc Security Berkeley House 12/04/2013",BS32 4NH,
Department for Transport,DVSA,29/12/2014,Accommodation ,Finance Estates and Performance,INTERSERVE (FACILITIES MANAGEMENT) LTD,999808,274.42,"VOSAPO20234,Ad Hoc Security Berkeley House 15/09/2014",BS32 4NH,
Department for Transport,DVSA,29/12/2014,Accommodation ,Vehicle Testing,PACE FUELCARE LTD,999855,1008.21,"VOSAPO20566,Gas Oil A2",TW20 9AB,
Department for Transport,DVSA,29/12/2014,Clothing,Finance Estates and Performance,BURLINGTON UNIFORMS LTD,999812,34700.38,"VOSAPO20878,HV13 new Enforcement winter jacket consignment of  256 pieces in various sizes",EN3 7PX,
Department for Transport,DVSA,29/12/2014,Clothing,Finance Estates and Performance,BURLINGTON UNIFORMS LTD,999812,120468.96,"VOSAPO20878,HV12 new Enforcement winter jacket consignment of 900 pieces in various sizes",EN3 7PX,
Department for Transport,DVSA,29/12/2014,Clothing,Finance Estates and Performance,BURLINGTON UNIFORMS LTD,999812,34700.38,"VOSAPO20878,HV13 new Enforcement winter jacket consignment of  274 pieces in various sizes",EN3 7PX,
Department for Transport,DVSA,29/12/2014,Computer Costs,Chief Information Officer,CIVICA UK LTD (CIS),999831,103152.02,"VOSAPO18699,Civica ANPR/WIMS licence/right to use support requirements October 2014 - March 2015 Quote Reference: SAM/CM/DVSA/SUPPORT/V4/22092014",DY1 4TD,
Department for Transport,DVSA,29/12/2014,Conferences,#,DSA,999048,4519.41,MERGER RECHARGES QTR 3,SA7 0EA,
Department for Transport,DVSA,29/12/2014,Electricity,Finance Estates and Performance,BRITISH GAS TRADING LTD,999509,45448.76,ELECTRICITY BILL - NOVEMBER 2014,GU95 1AW,
